race_id,driver_id,lap,position,time,milliseconds,ingestion_date
67,33,10,19,1:26.066,86066,2024-09-05T09:16:11.108Z
67,33,11,19,1:26.207,86207,2024-09-05T09:16:11.108Z
67,33,12,19,1:25.816,85816,2024-09-05T09:16:11.108Z
67,33,13,19,1:26.172,86172,2024-09-05T09:16:11.108Z
67,33,14,19,1:25.888,85888,2024-09-05T09:16:11.108Z
67,33,15,19,1:26.012,86012,2024-09-05T09:16:11.108Z
67,33,16,19,1:26.292,86292,2024-09-05T09:16:11.108Z
67,33,17,19,1:25.501,85501,2024-09-05T09:16:11.108Z
67,33,18,19,1:25.728,85728,2024-09-05T09:16:11.108Z
67,33,19,18,1:25.467,85467,2024-09-05T09:16:11.108Z
67,33,20,18,1:25.793,85793,2024-09-05T09:16:11.108Z
67,33,21,17,1:25.348,85348,2024-09-05T09:16:11.108Z
67,33,22,17,1:25.188,85188,2024-09-05T09:16:11.108Z
67,33,23,17,1:25.311,85311,2024-09-05T09:16:11.108Z
67,33,24,17,1:25.269,85269,2024-09-05T09:16:11.108Z
67,33,25,17,1:24.905,84905,2024-09-05T09:16:11.108Z
67,33,26,17,1:25.168,85168,2024-09-05T09:16:11.108Z
67,33,27,17,1:24.822,84822,2024-09-05T09:16:11.108Z
67,33,28,17,1:28.883,88883,2024-09-05T09:16:11.108Z
67,33,29,17,1:52.682,112682,2024-09-05T09:16:11.108Z
67,33,30,17,1:26.201,86201,2024-09-05T09:16:11.108Z
67,33,31,17,1:25.934,85934,2024-09-05T09:16:11.108Z
67,33,32,17,1:26.004,86004,2024-09-05T09:16:11.108Z
67,33,33,17,1:26.331,86331,2024-09-05T09:16:11.108Z
67,33,34,17,1:26.672,86672,2024-09-05T09:16:11.108Z
67,33,35,17,1:26.828,86828,2024-09-05T09:16:11.108Z
67,33,36,17,1:28.664,88664,2024-09-05T09:16:11.108Z
67,33,37,17,1:26.842,86842,2024-09-05T09:16:11.108Z
67,33,38,17,1:27.043,87043,2024-09-05T09:16:11.108Z
67,33,39,17,1:27.323,87323,2024-09-05T09:16:11.108Z
67,33,40,17,1:31.614,91614,2024-09-05T09:16:11.108Z
67,33,41,17,2:09.727,129727,2024-09-05T09:16:11.108Z
67,33,42,17,1:30.069,90069,2024-09-05T09:16:11.108Z
67,33,43,17,1:33.807,93807,2024-09-05T09:16:11.108Z
67,33,44,18,2:07.906,127906,2024-09-05T09:16:11.108Z
67,27,1,21,1:38.583,98583,2024-09-05T09:16:11.108Z
67,27,2,20,1:30.174,90174,2024-09-05T09:16:11.108Z
67,27,3,20,1:26.956,86956,2024-09-05T09:16:11.108Z
67,27,4,19,1:26.744,86744,2024-09-05T09:16:11.108Z
67,27,5,19,1:26.265,86265,2024-09-05T09:16:11.108Z
67,27,6,19,1:27.149,87149,2024-09-05T09:16:11.108Z
67,27,7,19,1:26.629,86629,2024-09-05T09:16:11.108Z
67,27,8,19,1:25.841,85841,2024-09-05T09:16:11.108Z
67,27,9,18,1:26.244,86244,2024-09-05T09:16:11.108Z
67,27,10,18,1:25.977,85977,2024-09-05T09:16:11.108Z
67,27,11,18,1:26.113,86113,2024-09-05T09:16:11.108Z
67,27,12,18,1:25.759,85759,2024-09-05T09:16:11.108Z
67,27,13,18,1:25.711,85711,2024-09-05T09:16:11.108Z
67,27,14,18,1:25.905,85905,2024-09-05T09:16:11.108Z
67,27,15,18,1:25.744,85744,2024-09-05T09:16:11.108Z
67,27,16,18,1:25.709,85709,2024-09-05T09:16:11.108Z
67,27,17,18,1:25.494,85494,2024-09-05T09:16:11.108Z
67,27,18,18,1:25.652,85652,2024-09-05T09:16:11.108Z
67,27,19,20,1:37.026,97026,2024-09-05T09:16:11.108Z
67,27,20,20,2:24.469,144469,2024-09-05T09:16:11.108Z
67,27,21,19,1:26.522,86522,2024-09-05T09:16:11.108Z
67,27,22,19,1:26.462,86462,2024-09-05T09:16:11.108Z
67,27,23,19,1:26.684,86684,2024-09-05T09:16:11.108Z
67,27,24,19,1:26.715,86715,2024-09-05T09:16:11.108Z
67,27,25,19,1:26.843,86843,2024-09-05T09:16:11.108Z
67,27,26,19,1:27.313,87313,2024-09-05T09:16:11.108Z
67,27,27,19,1:27.022,87022,2024-09-05T09:16:11.108Z
67,27,28,19,1:27.844,87844,2024-09-05T09:16:11.108Z
67,27,29,19,1:29.742,89742,2024-09-05T09:16:11.108Z
67,27,30,19,1:26.809,86809,2024-09-05T09:16:11.108Z
67,27,31,19,1:27.100,87100,2024-09-05T09:16:11.108Z
67,27,32,19,1:28.887,88887,2024-09-05T09:16:11.108Z
67,27,33,19,1:27.812,87812,2024-09-05T09:16:11.108Z
67,27,34,19,1:27.707,87707,2024-09-05T09:16:11.108Z
67,27,35,19,1:28.642,88642,2024-09-05T09:16:11.108Z
67,27,36,19,1:31.376,91376,2024-09-05T09:16:11.108Z
67,27,37,19,1:28.935,88935,2024-09-05T09:16:11.108Z
67,27,38,19,1:30.909,90909,2024-09-05T09:16:11.108Z
67,27,39,19,1:29.286,89286,2024-09-05T09:16:11.108Z
67,27,40,19,1:33.797,93797,2024-09-05T09:16:11.108Z
67,27,41,19,1:28.773,88773,2024-09-05T09:16:11.108Z
67,27,42,19,1:27.332,87332,2024-09-05T09:16:11.108Z
67,27,43,19,1:28.805,88805,2024-09-05T09:16:11.108Z
67,27,44,17,1:32.405,92405,2024-09-05T09:16:11.108Z
67,27,45,17,1:31.550,91550,2024-09-05T09:16:11.108Z
67,27,46,17,1:29.456,89456,2024-09-05T09:16:11.108Z
67,27,47,17,1:34.517,94517,2024-09-05T09:16:11.108Z
67,27,48,17,1:29.522,89522,2024-09-05T09:16:11.108Z
67,27,49,17,1:29.314,89314,2024-09-05T09:16:11.108Z
67,27,50,17,1:28.066,88066,2024-09-05T09:16:11.108Z
67,27,51,17,1:27.957,87957,2024-09-05T09:16:11.108Z
67,24,1,16,1:36.887,96887,2024-09-05T09:16:11.108Z
67,24,2,17,1:28.742,88742,2024-09-05T09:16:11.108Z
67,24,3,17,1:27.798,87798,2024-09-05T09:16:11.108Z
67,24,4,17,1:27.376,87376,2024-09-05T09:16:11.108Z
67,24,5,17,1:26.929,86929,2024-09-05T09:16:11.108Z
67,24,6,17,1:26.625,86625,2024-09-05T09:16:11.108Z
67,24,7,17,1:26.044,86044,2024-09-05T09:16:11.108Z
67,24,8,17,1:25.717,85717,2024-09-05T09:16:11.108Z
67,24,9,16,1:26.237,86237,2024-09-05T09:16:11.108Z
67,24,10,16,1:25.849,85849,2024-09-05T09:16:11.108Z
67,24,11,16,1:26.272,86272,2024-09-05T09:16:11.108Z
67,24,12,16,1:25.656,85656,2024-09-05T09:16:11.108Z
67,24,13,16,1:25.657,85657,2024-09-05T09:16:11.108Z
67,24,14,16,1:25.500,85500,2024-09-05T09:16:11.108Z
67,24,15,15,1:25.819,85819,2024-09-05T09:16:11.108Z
67,24,16,15,1:25.488,85488,2024-09-05T09:16:11.108Z
67,24,17,15,1:25.402,85402,2024-09-05T09:16:11.108Z
67,24,18,16,1:27.176,87176,2024-09-05T09:16:11.108Z
67,24,19,16,1:25.599,85599,2024-09-05T09:16:11.108Z
67,24,20,16,1:25.335,85335,2024-09-05T09:16:11.108Z
67,24,21,15,1:25.783,85783,2024-09-05T09:16:11.108Z
67,24,22,15,1:25.371,85371,2024-09-05T09:16:11.108Z
67,24,23,15,1:24.993,84993,2024-09-05T09:16:11.108Z
67,24,24,15,1:25.188,85188,2024-09-05T09:16:11.108Z
67,24,25,15,1:25.059,85059,2024-09-05T09:16:11.108Z
67,24,26,15,1:25.341,85341,2024-09-05T09:16:11.108Z
67,24,27,15,1:25.237,85237,2024-09-05T09:16:11.108Z
67,24,28,14,1:25.506,85506,2024-09-05T09:16:11.108Z
67,24,29,15,1:26.316,86316,2024-09-05T09:16:11.108Z
67,24,30,14,1:30.312,90312,2024-09-05T09:16:11.108Z
67,24,31,16,1:50.140,110140,2024-09-05T09:16:11.108Z
67,24,32,16,1:26.001,86001,2024-09-05T09:16:11.108Z
67,24,33,16,1:25.912,85912,2024-09-05T09:16:11.108Z
67,24,34,16,1:25.443,85443,2024-09-05T09:16:11.108Z
67,24,35,16,1:25.318,85318,2024-09-05T09:16:11.108Z
67,24,36,16,1:25.311,85311,2024-09-05T09:16:11.108Z
67,24,37,16,1:25.447,85447,2024-09-05T09:16:11.108Z
67,24,38,16,1:25.532,85532,2024-09-05T09:16:11.108Z
67,24,39,16,1:25.593,85593,2024-09-05T09:16:11.108Z
67,24,40,16,1:26.340,86340,2024-09-05T09:16:11.108Z
67,24,41,16,1:25.250,85250,2024-09-05T09:16:11.108Z
67,24,42,16,1:26.152,86152,2024-09-05T09:16:11.108Z
67,24,43,16,1:25.681,85681,2024-09-05T09:16:11.108Z
67,24,44,15,1:25.748,85748,2024-09-05T09:16:11.108Z
67,24,45,15,1:25.279,85279,2024-09-05T09:16:11.108Z
67,24,46,15,1:25.948,85948,2024-09-05T09:16:11.108Z
67,24,47,15,1:25.336,85336,2024-09-05T09:16:11.108Z
67,24,48,15,1:25.508,85508,2024-09-05T09:16:11.108Z
67,24,49,14,1:25.923,85923,2024-09-05T09:16:11.108Z
67,24,50,14,1:25.278,85278,2024-09-05T09:16:11.108Z
67,24,51,14,1:25.017,85017,2024-09-05T09:16:11.108Z
67,24,52,14,1:24.764,84764,2024-09-05T09:16:11.108Z
67,26,1,15,1:36.484,96484,2024-09-05T09:16:11.108Z
67,26,2,15,1:28.379,88379,2024-09-05T09:16:11.108Z
67,26,3,15,1:27.450,87450,2024-09-05T09:16:11.108Z
67,26,4,15,1:27.116,87116,2024-09-05T09:16:11.108Z
67,26,5,15,1:26.864,86864,2024-09-05T09:16:11.108Z
67,26,6,15,1:26.415,86415,2024-09-05T09:16:11.108Z
67,26,7,15,1:26.102,86102,2024-09-05T09:16:11.108Z
67,26,8,15,1:25.746,85746,2024-09-05T09:16:11.108Z
67,26,9,14,1:26.025,86025,2024-09-05T09:16:11.108Z
67,26,10,14,1:25.824,85824,2024-09-05T09:16:11.108Z
67,26,11,14,1:26.125,86125,2024-09-05T09:16:11.108Z
67,26,12,14,1:25.777,85777,2024-09-05T09:16:11.108Z
67,26,13,14,1:25.508,85508,2024-09-05T09:16:11.108Z
67,26,14,14,1:25.724,85724,2024-09-05T09:16:11.108Z
67,26,15,13,1:25.650,85650,2024-09-05T09:16:11.108Z
67,26,16,13,1:25.558,85558,2024-09-05T09:16:11.108Z
67,26,17,13,1:25.751,85751,2024-09-05T09:16:11.108Z
67,26,18,13,1:25.277,85277,2024-09-05T09:16:11.108Z
67,26,19,13,1:25.620,85620,2024-09-05T09:16:11.108Z
67,26,20,13,1:25.414,85414,2024-09-05T09:16:11.108Z
67,26,21,13,1:25.130,85130,2024-09-05T09:16:11.108Z
67,26,22,13,1:25.825,85825,2024-09-05T09:16:11.108Z
